wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�;w1_zaszczepieni_w_wieku_0_11;w1_zaszczepieni_w_wieku_12_19;w1_zaszczepieni_w_wieku_20_39;w1_zaszczepieni_w_wieku_40_59;w1_zaszczepieni_w_wieku_60_69;w1_zaszczepieni_w_wieku_70plus;w3_zaszczepieni_pe�n�_dawk�_w_wieku_0_11;w3_zaszczepieni_pe�n�_dawk�_w_wieku_12_19;w3_zaszczepieni_pe�n�_dawk�_w_wieku_20_39;w3_zaszczepieni_pe�n�_dawk�_w_wieku_40_59;w3_zaszczepieni_pe�n�_dawk�_w_wieku_60_69;w3_zaszczepieni_pe�n�_dawk�_w_wieku_70plus
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;20070;19501;67,4237;65,5121;0;2054;6349;7813;2181;1673;0;1947;6133;7635;2145;1641
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;522281;510694;66,962;65,4764;2;28990;177195;150014;74417;91663;1;27456;172894;147307;73146;89890
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1601;1559;67,1279;65,3669;0;118;441;572;249;221;0;106;427;566;245;215
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3649;3573;66,3575;64,9755;0;296;818;1144;739;652;0;281;791;1127;732;642
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;313934;305732;66,6803;64,9381;2;19106;97828;91127;47268;58603;1;18001;94949;89103;46282;57396
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6357;6199;66,3916;64,7415;0;426;1478;2073;1190;1190;0;402;1433;2027;1172;1165
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15624;15354;65,8796;64,7411;0;1040;3981;5010;2861;2732;0;1003;3887;4948;2827;2689
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14934;14559;66,1997;64,5374;0;925;3838;4805;2595;2771;0;869;3723;4704;2542;2721
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;18362;17871;66,2768;64,5046;0;1655;4762;6684;2773;2488;0;1567;4616;6538;2718;2432
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;12218;11906;66,0004;64,315;0;1174;3265;4502;1762;1515;0;1119;3174;4393;1732;1488
